SongTitle,Artist
Today Is Your Day,Shania Twain
A Year Without Rain,Selena Gomez & The Scene
I'll Show You,Justin Bieber
What If,Colbie Caillat
Roar,Katy Perry
This Is Country Music,Brad Paisley
Make It Rain,Travis Porter
Saved,Ty Dolla $ign Featuring E-40
Chantaje,Shakira Featuring Maluma
F*ckwithmeyouknowigotit,Jay Z Featuring Rick Ross
UP!,LoveRance Featuring IamSu & Skipper or 50 Cent
Drinkin' Problem,Midland
With You,Drake Featuring PARTYNEXTDOOR
Bad Day,Justin Bieber
Animals,Maroon 5
The Night We Met,Lord Huron
1 Night,Lil Yachty
Loving You Easy,Zac Brown Band
Ride,twenty one pilots
Black SpiderMan,Logic Featuring Damian Lemar Hudson
These Heaux,Bhad Bhabie
Goodbye,Who Is Fancy
Home,gnash Featuring Johnny Yukon
Black Skinhead,Kanye West
Here,Alessia Cara
Feel Like A Rock Star,Kenny Chesney & Tim McGraw
Alright,Kendrick Lamar
Play It Again,Luke Bryan
President Carter,Lil Wayne
Don't Stop The Party,Pitbull Featuring TJR
Hold Each Other,A Great Big World Featuring FUTURISTIC
Teenage Dream,Katy Perry
The Champ,Nelly
Shout Out To My Ex,Little Mix
Stay With Me,Josh Kaufman
Mr. Saxobeat,Alexandra Stan
Just A Fool,Christina Aguilera With Blake Shelton
Ain't Worth The Whiskey,Cole Swindell
Lolly,Maejor Ali Featuring Juicy J & Justin Bieber
Stressed Out,twenty one pilots
Jugg,Fetty Wap Featuring Monty
All I Want For Christmas Is You (SuperFestive!),Justin Bieber Duet With Mariah Carey
A Guy Walks Into A Bar,Tyler Farr
I Fall Apart,Post Malone
Slide,Calvin Harris Featuring Frank Ocean & Migos
Teenage Dream,Glee Cast
Olivia,One Direction
Fly Away,5 Seconds Of Summer
Imagine,Sawyer Fredericks
Good Girl,Carrie Underwood
Memories Back Then,"Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens"
What Now,Rihanna
Faith,George Michael
Around My Way (Freedom Ain't Free),Lupe Fiasco
Red Nation,Game Featuring Lil Wayne
Love Faces,Trey Songz
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj
Break Up With Him,Old Dominion
Fly / I Believe I Can Fly,Glee Cast
That's My Girl,Fifth Harmony
Don't,Bryson Tiller
No Sense,Justin Bieber Featuring Travi$ Scott
House Of The Rising Sun,Kimberly Nichole
Wop,J. Dash
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar
This Kiss,Carly Rae Jepsen
Who Says,Selena Gomez & The Scene
Hell On Heels,Pistol Annies
Sauce It Up,Lil Uzi Vert
Made In The USA,Demi Lovato
Lovin' You Is Fun,Easton Corbin
Oceans,Jay Z Featuring Frank Ocean
Mean,Taylor Swift
Ships In The Night,Mat Kearney
You Can't Stop The Beat,Glee Cast
Til It's Gone,Kenny Chesney
Burning House,Emily Ann Roberts
One Call Away,Charlie Puth
Song About A Girl,Eric Paslay
It's Beginning To Look A Lot Like Christmas,Michael Buble
Stars,Grace Potter & The Nocturnals
The Sound Of Silence,Disturbed
"Bills, Bills, Bills",Glee Cast
We R Who We R,Ke$ha
Wildflower,The JaneDear Girls
Let Me See Ya Girl,Cole Swindell
Swish Swish,Katy Perry Featuring Nicki Minaj
What They Want,Russ
No Promises,Cheat Codes Featuring Demi Lovato
Loyalty.,Kendrick Lamar Featuring Rihanna
Scared To Be Lonely,Martin Garrix & Dua Lipa
Titanium,David Guetta Featuring Sia
History,One Direction
Sparks,Hilary Duff
New Slaves,Kanye West
Smooth Criminal,Glee Cast Featuring 2Cellos
Lay It All On Me,Rudimental Featuring Ed Sheeran
Do They Know It's Christmas?,Glee Cast
Pretty Girls,Iyaz Featuring Travie McCoy
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes
Privacy,Chris Brown
Believer,Imagine Dragons
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko"
I Got The Boy,Jana Kramer
Martians Vs Goblins,"Game Featuring Lil Wayne & Tyler, The Creator"
Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island
Steal My Girl,One Direction
All Time Low,Jon Bellion
Do It Again,Pia Mia Featuring Chris Brown & Tyga
I Luh Ya Papi,Jennifer Lopez Featuring French Montana
Mark My Words,Justin Bieber
Papi,Jennifer Lopez
Stay Schemin,Rick Ross Featuring Drake & French Montana
I Know Somebody,LOCASH
All I Ask,Adele
Never Enough,One Direction
Need You Now,Glee Cast
Wild Wild Love,Pitbull Featuring G.R.L.
Blackout,Breathe Carolina
What About Love,Austin Mahone
I Wanna Go,Britney Spears
Type Of Way,Rich Homie Quan
Misery,Glee Cast
Mr. Rager,Kid Cudi
Forever Country,"Artists Of Then, Now & Forever"
Can't Be Friends,Trey Songz
Airplanes,B.o.B Featuring Hayley Williams
Latch,Disclosure Featuring Sam Smith
My Kinda Party,Jason Aldean
On The Regular,Meek Mill
I. Crawl,Childish Gambino
Fine By Me,Andy Grammer
Power Trip,J. Cole Featuring Miguel
Transportin',Kodak Black
True Colors,Zedd & Kesha
Little Drummer Boy,Pentatonix
Take Care,Drake Featuring Rihanna
Tell Me You Love Me,Demi Lovato
Magic,Coldplay
Sweater Weather,The Neighbourhood
Postcard From Paris,The Band Perry
Drinking Class,Lee Brice
Home,Dierks Bentley
No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne"
Magic,B.o.B Featuring Rivers Cuomo
Secrets,Mary Lambert
They Don't Know,Jason Aldean
Water Under The Bridge,Adele
Mary Did You Know,Jordan Smith
She Came To Give It To You,Usher Featuring Nicki Minaj
Body Party,Ciara
I'm Not Gonna Miss You,Glen Campbell
Soldier,Damien
When I See This Bar,Kenny Chesney
Gold,Britt Nicole
Say Aah,Lindsey Pavao
Chillin' It,Cole Swindell
If It Ain't Love,Jason Derulo
Dirty Dancer,Enrique Iglesias With Usher Featuring Lil Wayne
Nothing Without You,The Weeknd
Black,Dierks Bentley
God.,Kendrick Lamar
Battle Scars,Lupe Fiasco & Guy Sebastian
Lean On,Major Lazer & DJ Snake Featuring MO
Marry You,Glee Cast
One Love (People Get Ready),Glee Cast
Tell Your Friends,The Weeknd
Roll Up,Wiz Khalifa
Pillowtalk,Zayn
Southern Girl,Tim McGraw
From Time,Drake Featuring Jhene Aiko
C'mon,Ke$ha
Don't Hold Your Breath,Nicole Scherzinger
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy
Rake It Up,Yo Gotti Featuring Nicki Minaj
Can't Get Enough,J. Cole Featuring Trey Songz
Thunder,Imagine Dragons
Good For You,Selena Gomez Featuring A$AP Rocky
Oh My,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa"
Valerie,Glee Cast
Easy,Sheryl Crow
Ex's & Oh's,Elle King
"Hey, Soul Sister",Glee Cast
Everything Has Changed,Taylor Swift Featuring Ed Sheeran
Stay With Me,Sam Smith
Grass Ain't Greener,Chris Brown
Dance For You,Beyonce
From A Table Away,Sunny Sweeney
Take It Off,Ke$ha
Hype,Drake
Can't Remember To Forget You,Shakira Featuring Rihanna
Beware,Big Sean Featuring Lil Wayne & Jhene Aiko
XO TOUR Llif3,Lil Uzi Vert
OMG,Usher Featuring will.i.am
Heartbreaker,Justin Bieber
Light It Up,Luke Bryan
You Don't Know Her Like I Do,Brantley Gilbert
Dirty Laundry,Carrie Underwood
Same Damn Time,Future
All About That Bass,Meghan Trainor
Shape Of You,Ed Sheeran
My Story,R. Kelly Featuring 2 Chainz
Strip It Down,Luke Bryan
Gold,Kiiara
Candles,Glee Cast
Come Wake Me Up,Rascal Flatts
Windows Down,Big Time Rush
Leave You Alone,Young Jeezy Featuring Ne-Yo
6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz
P**** Print,Gucci Mane Featuring Kanye West
Commas,Future
Old Alabama,Brad Paisley Featuring Alabama
You Da Baddest,Future Featuring Nicki Minaj
Sweet Creature,Harry Styles
Now Or Never,Halsey
"God, Your Mama, And Me",Florida Georgia Line Featuring Backstreet Boys
Try,P!nk
No Shopping,French Montana Featuring Drake
Run The World (Girls),Glee Cast
1999,Prince
Aw Naw,Chris Young
Someone Else Calling You Baby,Luke Bryan
Helluva Night,Ludacris
High School,Nicki Minaj Featuring Lil Wayne
Let Her Go,Passenger
Ordinary Love,U2
New Level,A$AP Ferg Featuring Future
Take A Little Ride,Jason Aldean
Heatstroke,"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande"
Title,Meghan Trainor
Bleed Red,Ronnie Dunn
Monster,"Kanye West Featuring Jay-Z, Rick Ross, Bon Iver & Nicki Minaj"
Nights,Frank Ocean
Chasing The Sun,The Wanted
This Girl,Kungs vs Cookin' On 3 Burners
Key To The Streets,YFN Lucci Featuring Migos & Trouble
Sacrifices,Drake Featuring 2 Chainz & Young Thug
Lord Knows,Meek Mill
Infinite,Eminem
Ophelia,The Lumineers
I Don't Want This Night To End,Luke Bryan
Throw That,Slaughterhouse Featuring Eminem
Untitled 07 l Levitate,Kendrick Lamar
Scott Mescudi Vs. The World,Kid Cudi Featuring Cee-Lo
Thinking Out Loud,Ed Sheeran
Wild For The Night,A$AP Rocky Featuring Skrillex
Ronan,Taylor Swift
Propuesta Indecente,Romeo Santos
Almost Like Praying,Lin-Manuel Miranda Featuring Artists For Puerto Rico
True Colors,The Weeknd
Whatever It Takes,Imagine Dragons
All Your Life,The Band Perry
Right By My Side,Nicki Minaj Featuring Chris Brown
Light,Big Sean Featuring Jeremih
Infinity,Mariah Carey
Keep Your Head Up,Andy Grammer
Wish I Knew You,The Revivalists
Fly,Nicki Minaj Featuring Rihanna
Price Tag,Jessie J Featuring B.o.B
Faithful,Drake Featuring Pimp C & dvsn
You & Me,Marc E. Bassy Featuring G-Eazy
The Blower's Daughter,Matt McAndrew
I Knew You Were Trouble.,Taylor Swift
How Far I'll Go,Alessia Cara
30 For 30 Freestyle,Drake
