acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,song_title,artist_name
0.804,https://api.spotify.com/v1/audio-analysis/7zOoHxDt1duHL8czY7o7ab,0.526,220387,0.412,0,9,0.117,-9.292,1,0.0385,79.732,4,0.289,Dear Hate,Maren Morris Featuring Vince Gill
0.0165,https://api.spotify.com/v1/audio-analysis/0ipcmHor30Y8p6hCd8QUVq,0.653,199213,0.73,0.0000014,2,0.0894,-8.018,1,0.0378,85.015,4,0.638,Kill A Word,Eric Church Featuring Rhiannon Giddens
0.618,https://api.spotify.com/v1/audio-analysis/7oAraczbemGSNWqnbkU87R,0.515,201000,0.378,0,5,0.172,-8.264,1,0.065,91.883,4,0.536,Too Good At Goodbyes,Sam Smith
0.129,https://api.spotify.com/v1/audio-analysis/6znSbsDDFdBZaiucjUGaWy,0.596,177292,0.935,0,6,0.108,-2.794,0,0.0855,130.029,4,0.678,Light,Big Sean Featuring Jeremih
0.0266,https://api.spotify.com/v1/audio-analysis/2wSQyp6VzUopSFBinRo1iD,0.66,235693,0.698,0,5,0.296,-6.266,0,0.0467,120.959,4,0.407,Distraction,Kehlani
0.0169,https://api.spotify.com/v1/audio-analysis/6zkHymyoD3tIqV7RwCAYUw,0.632,187813,0.716,0,5,0.0758,-5.677,0,0.043,88.549,4,0.643,Sleep Without You,Brett Young
0.0541,https://api.spotify.com/v1/audio-analysis/0Fv5N0cHBsl4bzCbollCAS,0.789,142907,0.53,0,2,0.164,-6.2,1,0.293,75.515,4,0.381,Moves,Big Sean
0.636,https://api.spotify.com/v1/audio-analysis/5NJ8M8qilAzKVNOcjXfTJb,0.671,134733,0.423,0,0,0.0914,-10.519,1,0.0293,140.392,4,0.834,A Holly Jolly Christmas,Burl Ives
0.319,https://api.spotify.com/v1/audio-analysis/2ZekuYUoEIBrUwHOY0gcgB,0.456,213453,0.813,0.00000542,2,0.0946,-4.676,1,0.0452,185.993,5,0.645,How I'll Always Be,Tim McGraw
0.109,https://api.spotify.com/v1/audio-analysis/4AFgK4wP1iD5i8BYaLr9Vf,0.807,242933,0.736,0.00729,7,0.104,-6.748,1,0.151,154.023,4,0.531,You Da Baddest,Future Featuring Nicki Minaj
0.753,https://api.spotify.com/v1/audio-analysis/0j8zLbIueSkVqB3Tl6PsjA,0.764,229573,0.473,0.306,0,0.171,-11.084,0,0.0882,106.14,4,0.218,Regret In Your Tears,Nicki Minaj
0.57,https://api.spotify.com/v1/audio-analysis/5tz69p7tJuGPeMGwNTxYuV,0.629,250173,0.572,0,5,0.192,-7.733,0,0.0387,100.015,4,0.38,Everybody,Logic
0.0235,https://api.spotify.com/v1/audio-analysis/1QgTBfRN5m81a5K01qens6,0.791,247347,0.513,0.0000283,10,0.101,-6.568,0,0.269,76.997,4,0.481,444+222,Lil Uzi Vert
0.022,https://api.spotify.com/v1/audio-analysis/5SE57ljOIUJ1ybL9U6CuBH,0.598,223123,0.775,0,1,0.0677,-4.035,0,0.0545,129.819,4,0.687,DNA.,Kendrick Lamar
0.0596,https://api.spotify.com/v1/audio-analysis/4nxgA1nvXvTkmsBY0vJV57,0.615,216267,0.88,0,0,0.247,-4.69,1,0.0348,112.996,4,0.308,Road Less Traveled,Lauren Alaina
0.0374,https://api.spotify.com/v1/audio-analysis/1rM0CnyUiiw6A9CHJRXjZA,0.676,193792,0.776,0,8,0.226,-6.629,1,0.0908,113.92,4,0.804,Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope"
0.427,https://api.spotify.com/v1/audio-analysis/7vu0JkJh0ldukEYbTVcqd0,0.725,176320,0.42,0,8,0.061,-6.811,1,0.0811,113.975,4,0.424,Issues,Meek Mill
0.0962,https://api.spotify.com/v1/audio-analysis/0jOfl1nZf6sVBTG08Q4brn,0.852,232705,0.727,0,1,0.154,-4.851,1,0.267,130.014,4,0.48,Call Casting,Migos
0.122,https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb,0.796,255560,0.513,0,6,0.15,-7.14,0,0.452,75.018,4,0.232,4:00 AM,2 Chainz Featuring Travis Scott
0.105,https://api.spotify.com/v1/audio-analysis/67iF3DdebmElASIGoebYt1,,73887,2.01E-05,,5,,-15.776,1,,0,,,Fade,Kanye West
0.0995,https://api.spotify.com/v1/audio-analysis/0H8XeaJunhvpBdBFIYi6Sh,0.613,234213,0.702,0,7,0.116,-6.498,1,0.0458,133.932,4,0.374,Deja Vu,Lauren Duski
0.0254,https://api.spotify.com/v1/audio-analysis/6yMxfx9wpiuhhdb8vHDVMu,0.519,205373,0.57,0,1,0.0821,-7.366,1,0.202,164.155,4,0.303,Wins & Losses,Meek Mill
0.00909,https://api.spotify.com/v1/audio-analysis/3wUX7HpXS382s1DHTRouVk,0.71,172013,0.805,0,1,0.141,-5.471,1,0.0637,92.601,4,0.895,We The People....,A Tribe Called Quest
0.0471,https://api.spotify.com/v1/audio-analysis/4H3Q676CX9JpQCTGhm2QzC,0.666,267469,0.786,0.852,8,0.258,-6.615,0,0.114,165.983,4,0.608,Family Feud,JAY-Z Featuring Beyonce
0.199,https://api.spotify.com/v1/audio-analysis/0azC730Exh71aQlOt9Zj3y,0.63,222160,0.928,0.124,9,0.148,-2.787,0,0.0331,123.963,4,0.46,This Is What You Came For,Calvin Harris Featuring Rihanna
0.00375,https://api.spotify.com/v1/audio-analysis/3klzr0269NpGoBpe9BUNXN,0.7,210472,0.693,0,2,0.314,-6.553,1,0.14,133.981,4,0.513,Froze,Meek Mill Featuring Lil Uzi Vert & Nicki Minaj
0.499,https://api.spotify.com/v1/audio-analysis/2fkeWbM6iqTw7oGHTYm2lw,0.621,186293,0.247,0.0239,11,0.113,-12.291,0,0.0393,111.974,4,0.214,4422,Drake Featuring Sampha
0.047,https://api.spotify.com/v1/audio-analysis/16dXg2YuFOxwDC3cTf5jde,0.666,219754,0.693,0,1,0.115,-3.638,1,0.199,159.972,4,0.134,Conscience,Kodak Black Featuring Future
0.776,https://api.spotify.com/v1/audio-analysis/5rmcjZTrE9JR1YrbNZDFNW,0.513,278920,0.197,0.00272,2,0.114,-15.167,1,0.0851,69.82,4,0.0505,She's Mine Pt. 2,J. Cole
0.0677,https://api.spotify.com/v1/audio-analysis/57qiTKh8bVX0VtfUNTQqhw,0.652,198653,0.637,0,1,0.0996,-8.094,1,0.0593,110.08,4,0.176,Nothing Without You,The Weeknd
0.0417,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,0.801,163253,0.795,0.000113,1,0.0717,-5.115,0,0.0504,79.028,4,0.754,Feel.,Kendrick Lamar
0.13,https://api.spotify.com/v1/audio-analysis/2EWpa5XnAuSn0sIkSSIhYk,0.651,274093,0.716,0.0616,0,0.125,-6.516,0,0.0258,101.05,4,0.732,Wish I Knew You,The Revivalists
0.0293,https://api.spotify.com/v1/audio-analysis/3B54sVLJ402zGa6Xm4YGNe,0.726,233902,0.769,0.0101,6,0.104,-5.043,1,0.123,97.985,4,0.75,Unforgettable,French Montana Featuring Swae Lee
0.126,https://api.spotify.com/v1/audio-analysis/0jMikeoKkkSOby4ofddqYs,0.524,260933,0.76,0.000011,5,0.239,-4.214,1,0.0361,143.991,4,0.449,Better Man,Little Big Town
0.0232,https://api.spotify.com/v1/audio-analysis/6PCUP3dWmTjcTtXY02oFdT,0.461,261154,0.834,0.0000114,2,0.14,-4.868,1,0.0989,135.007,4,0.471,Castle On The Hill,Ed Sheeran
0.857,https://api.spotify.com/v1/audio-analysis/6NMz3Cjvod2qnJjakiRDA8,0.381,191640,0.141,0.00000113,1,0.0995,-15.439,1,0.0384,131.76,4,0.19,The Christmas Song (Merry Christmas To You),Nat King Cole
0.38,https://api.spotify.com/v1/audio-analysis/0kdiUZDcLIFw0Buo9r0Q4z,0.665,222400,0.621,0,10,0.119,-8.571,1,0.0524,147.975,4,0.632,Greatest Love Story,LANCO
0.0406,https://api.spotify.com/v1/audio-analysis/498ZVInMGDkmmNVpSWqHiZ,0.488,226173,0.915,0,7,0.351,-4.255,1,0.0389,75.019,4,0.637,May We All,Florida Georgia Line Featuring Tim McGraw
0.0541,https://api.spotify.com/v1/audio-analysis/1MJErNPIQUoEMu4YUUmecm,0.859,258789,0.563,0,1,0.0685,-6.635,0,0.112,119.934,4,0.412,Neon Guts,Lil Uzi Vert Featuring Pharrell Williams
0.128,https://api.spotify.com/v1/audio-analysis/4jDmJ51x1o9NZB5Nxxc7gY,0.574,300107,0.629,0,2,0.271,-8.815,0,0.0363,153.119,4,0.783,Careless Whisper,Wham! Featuring George Michael
0.379,https://api.spotify.com/v1/audio-analysis/6MbH1QiphMCPTqVEVC7UYi,0.76,153725,0.227,0.0017,11,0.355,-8.327,0,0.15,96.912,4,0.262,Nothings Into Somethings,Drake
0.189,https://api.spotify.com/v1/audio-analysis/2FRnf9qhLbvw8fu4IBXx78,0.735,262960,0.478,0.00000248,2,0.355,-12.472,1,0.0293,107.682,4,0.944,Last Christmas,Wham!
0.356,https://api.spotify.com/v1/audio-analysis/0AKejOKlGdiB53QpwAeenO,0.777,214480,0.627,0,7,0.0956,-6.142,1,0.0792,100.054,4,0.432,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar
0.00124,https://api.spotify.com/v1/audio-analysis/0B48113ZG9UfkWWt7qD9xX,0.551,248782,0.869,0.0000303,9,0.164,-5.043,1,0.0606,121.91,4,0.297,Younger Now,Miley Cyrus
0.0252,https://api.spotify.com/v1/audio-analysis/0bXFIF7iL17TYLyx8JHziM,0.806,198110,0.77,0,1,0.0645,-6.464,0,0.19,152.094,4,0.419,Patty Cake,Kodak Black
0.358,https://api.spotify.com/v1/audio-analysis/0utlOiJy2weVl9WTkcEWHy,0.894,216520,0.284,0.000487,11,0.11,-13.002,0,0.33,138.944,4,0.413,4 Your Eyez Only,J. Cole
0.0777,https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh,0.573,223347,0.543,0,8,0.199,-5.357,0,0.0398,143.916,4,0.299,I Fall Apart,Post Malone
0.215,https://api.spotify.com/v1/audio-analysis/6SUxrwVN19Kmd9JfIbjJUj,0.852,140008,0.577,0,6,0.138,-6.347,0,0.16,119.986,4,0.456,These Heaux,Bhad Bhabie
0.00252,https://api.spotify.com/v1/audio-analysis/25oOaleife6E2MIKmFkPvg,0.842,215307,0.597,0,2,0.124,-6.336,1,0.0627,145.992,4,0.286,Relationship,Young Thug Featuring Future
0.022,https://api.spotify.com/v1/audio-analysis/6c7D34787LOtPm8tzhsLgH,0.91,276333,0.444,0,1,0.137,-8.126,0,0.344,149.953,4,0.524,Rake It Up,Yo Gotti Featuring Nicki Minaj
0.0287,https://api.spotify.com/v1/audio-analysis/45XhKYRRkyeqoW3teSOkCM,0.613,204664,0.681,0,8,0.126,-3.089,1,0.0778,97.621,4,0.609,Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller
0.00541,https://api.spotify.com/v1/audio-analysis/2flWhcGYxQHhb1EeeU2dOL,0.529,207307,0.8,0,2,0.104,-3.726,1,0.031,100.035,4,0.678,Bar At The End Of The World,Kenny Chesney
0.0224,https://api.spotify.com/v1/audio-analysis/6SwRhMLwNqEi6alNPVG00n,0.681,227360,0.541,0,9,0.167,-8.926,0,0.055,110.803,4,0.424,Loyalty.,Kendrick Lamar Featuring Rihanna
0.049,https://api.spotify.com/v1/audio-analysis/081t95JRuDUrQYSS3h8iKk,0.477,194560,0.672,0,1,0.355,-5.234,1,0.0306,139.864,4,0.265,Sober Saturday Night,Chris Young Featuring Vince Gill
0.00746,https://api.spotify.com/v1/audio-analysis/73WWkaWkIRSP3MYGZ14aY4,0.551,154707,0.716,0,2,0.13,-5.431,1,0.0305,75.001,4,0.739,More Girls Like You,Kip Moore
0.0855,https://api.spotify.com/v1/audio-analysis/6kig1UFggPUyZBCvXD3Wod,0.914,261733,0.507,0.0254,2,0.0797,-10.784,1,0.164,123.956,4,0.199,No Complaints,Metro Boomin Featuring Offset & Drake
