,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,song_title,artist_name,PeakPos
0,0.0223,https://api.spotify.com/v1/audio-analysis/3Du2K5dLzmduCNp6uwuaL0,0.702,203760,0.635,3Du2K5dLzmduCNp6uwuaL0,0.0,11,0.283,-6.917,0,0.265,144.004,4,https://api.spotify.com/v1/tracks/3Du2K5dLzmduCNp6uwuaL0,audio_features,spotify:track:3Du2K5dLzmduCNp6uwuaL0,0.873,Tell Me You Love Me,Demi Lovato,97
0,0.108,https://api.spotify.com/v1/audio-analysis/343YBumqHu19cGoGARUTsd,0.927,210937,0.488,343YBumqHu19cGoGARUTsd,0.0,9,0.196,-9.433,0,0.42,133.987,4,https://api.spotify.com/v1/tracks/343YBumqHu19cGoGARUTsd,audio_features,spotify:track:343YBumqHu19cGoGARUTsd,0.599,Fake Love,Drake,8
0,0.0207,https://api.spotify.com/v1/audio-analysis/3bzE57iNavJJxXL9GgBiOK,0.434,195307,0.921,3bzE57iNavJJxXL9GgBiOK,0.00209,10,0.116,-2.248,0,0.0688,171.945,4,https://api.spotify.com/v1/tracks/3bzE57iNavJJxXL9GgBiOK,audio_features,spotify:track:3bzE57iNavJJxXL9GgBiOK,0.426,They Don't Know,Jason Aldean,67
0,0.0583,https://api.spotify.com/v1/audio-analysis/5lNuqFVMca4vPupY10cH0J,0.736,223387,0.613,5lNuqFVMca4vPupY10cH0J,0.0,10,0.11,-6.985,1,0.175,112.951,4,https://api.spotify.com/v1/tracks/5lNuqFVMca4vPupY10cH0J,audio_features,spotify:track:5lNuqFVMca4vPupY10cH0J,0.568,No Promises,A Boogie Wit da Hoodie,74
0,0.214,https://api.spotify.com/v1/audio-analysis/31x4wWBghN7f5PiEZUmcAW,0.471,170200,0.848,31x4wWBghN7f5PiEZUmcAW,1.84e-05,6,0.658,-5.355,1,0.0538,161.049,4,https://api.spotify.com/v1/tracks/31x4wWBghN7f5PiEZUmcAW,audio_features,spotify:track:31x4wWBghN7f5PiEZUmcAW,0.319,Smooth,Florida Georgia Line,91
0,0.0511,https://api.spotify.com/v1/audio-analysis/1wZqJM5FGDEl3FjHDxDyQd,0.717,235477,0.347,1wZqJM5FGDEl3FjHDxDyQd,2.43e-06,11,0.087,-10.265,0,0.0636,84.987,4,https://api.spotify.com/v1/tracks/1wZqJM5FGDEl3FjHDxDyQd,audio_features,spotify:track:1wZqJM5FGDEl3FjHDxDyQd,0.0593,Come And See Me,PARTYNEXTDOOR Featuring Drake,55
0,0.0538,https://api.spotify.com/v1/audio-analysis/1vBpwxsLVwaR4evBIaFmqD,0.628,220800,0.761,1vBpwxsLVwaR4evBIaFmqD,3.74e-06,9,0.312,-6.377,1,0.0277,102.019,4,https://api.spotify.com/v1/tracks/1vBpwxsLVwaR4evBIaFmqD,audio_features,spotify:track:1vBpwxsLVwaR4evBIaFmqD,0.64,Drinkin' Problem,Midland,45
0,0.156,https://api.spotify.com/v1/audio-analysis/5JW8njiQorZ7m2VHYddTt6,0.924,104528,0.387,5JW8njiQorZ7m2VHYddTt6,0.000331,8,0.0973,-7.738,1,0.115,120.014,4,https://api.spotify.com/v1/tracks/5JW8njiQorZ7m2VHYddTt6,audio_features,spotify:track:5JW8njiQorZ7m2VHYddTt6,0.0624,Hi Bich,Bhad Bhabie,68
0,0.0528,https://api.spotify.com/v1/audio-analysis/2OFvjqQ5xHaWqH3EQ4K3S9,0.46,191733,0.821,2OFvjqQ5xHaWqH3EQ4K3S9,0.0,4,0.0818,-5.333,0,0.0404,164.144,4,https://api.spotify.com/v1/tracks/2OFvjqQ5xHaWqH3EQ4K3S9,audio_features,spotify:track:2OFvjqQ5xHaWqH3EQ4K3S9,0.438,Found You,Kane Brown,80
0,0.0223,https://api.spotify.com/v1/audio-analysis/3Du2K5dLzmduCNp6uwuaL0,0.702,203760,0.635,3Du2K5dLzmduCNp6uwuaL0,0.0,11,0.283,-6.917,0,0.265,144.004,4,https://api.spotify.com/v1/tracks/3Du2K5dLzmduCNp6uwuaL0,audio_features,spotify:track:3Du2K5dLzmduCNp6uwuaL0,0.873,Sorry Not Sorry,Demi Lovato,6
0,0.562,https://api.spotify.com/v1/audio-analysis/4nMlau89VAjmV7agkl7OY3,0.822,198001,0.544,4nMlau89VAjmV7agkl7OY3,2.4e-05,0,0.144,-6.797,1,0.0332,122.047,4,https://api.spotify.com/v1/tracks/4nMlau89VAjmV7agkl7OY3,audio_features,spotify:track:4nMlau89VAjmV7agkl7OY3,0.865,Fresh Eyes,Andy Grammer,59
0,0.222,https://api.spotify.com/v1/audio-analysis/2ZdCrBA52bb4pIG3tOOZiQ,0.747,173419,0.606,2ZdCrBA52bb4pIG3tOOZiQ,0.0,4,0.281,-5.286,1,0.172,155.055,4,https://api.spotify.com/v1/tracks/2ZdCrBA52bb4pIG3tOOZiQ,audio_features,spotify:track:2ZdCrBA52bb4pIG3tOOZiQ,0.2,Dark Queen,Lil Uzi Vert,91
0,0.147,https://api.spotify.com/v1/audio-analysis/1jQsKN68yE94tMYml0wHMd,0.745,213693,0.714,1jQsKN68yE94tMYml0wHMd,0.0,1,0.132,-6.729,1,0.0768,136.972,4,https://api.spotify.com/v1/tracks/1jQsKN68yE94tMYml0wHMd,audio_features,spotify:track:1jQsKN68yE94tMYml0wHMd,0.539,Jump Out The Window,Big Sean,76
0,0.616,https://api.spotify.com/v1/audio-analysis/63NTlJWNS65JjsE3QJYr20,0.802,295653,0.628,63NTlJWNS65JjsE3QJYr20,0.0,11,0.114,-8.352,0,0.431,143.946,4,https://api.spotify.com/v1/tracks/63NTlJWNS65JjsE3QJYr20,audio_features,spotify:track:63NTlJWNS65JjsE3QJYr20,0.641,Changed It,Nicki Minaj & Lil Wayne,71
0,0.0578,https://api.spotify.com/v1/audio-analysis/2y5aJvzXhHPA94U5GFAcXe,0.737,245653,0.452,2y5aJvzXhHPA94U5GFAcXe,1.48e-05,0,0.187,-8.366,1,0.0534,117.962,4,https://api.spotify.com/v1/tracks/2y5aJvzXhHPA94U5GFAcXe,audio_features,spotify:track:2y5aJvzXhHPA94U5GFAcXe,0.0971,I Don't,Mariah Carey Featuring YG,89
0,0.132,https://api.spotify.com/v1/audio-analysis/7BKUWh5sdtdS17crohRe4L,0.617,331267,0.869,7BKUWh5sdtdS17crohRe4L,7.38e-05,1,0.441,-5.293,1,0.101,139.994,4,https://api.spotify.com/v1/tracks/7BKUWh5sdtdS17crohRe4L,audio_features,spotify:track:7BKUWh5sdtdS17crohRe4L,0.323,Black SpiderMan,Logic Featuring Damian Lemar Hudson,87
0,0.804,https://api.spotify.com/v1/audio-analysis/7zOoHxDt1duHL8czY7o7ab,0.526,220387,0.412,7zOoHxDt1duHL8czY7o7ab,0.0,9,0.117,-9.292,1,0.0385,79.732,4,https://api.spotify.com/v1/tracks/7zOoHxDt1duHL8czY7o7ab,audio_features,spotify:track:7zOoHxDt1duHL8czY7o7ab,0.289,Dear Hate,Maren Morris Featuring Vince Gill,91
0,0.0165,https://api.spotify.com/v1/audio-analysis/0ipcmHor30Y8p6hCd8QUVq,0.653,199213,0.73,0ipcmHor30Y8p6hCd8QUVq,1.4e-06,2,0.0894,-8.018,1,0.0378,85.015,4,https://api.spotify.com/v1/tracks/0ipcmHor30Y8p6hCd8QUVq,audio_features,spotify:track:0ipcmHor30Y8p6hCd8QUVq,0.638,Kill A Word,Eric Church Featuring Rhiannon Giddens,71
0,0.618,https://api.spotify.com/v1/audio-analysis/7oAraczbemGSNWqnbkU87R,0.515,201000,0.378,7oAraczbemGSNWqnbkU87R,0.0,5,0.172,-8.264,1,0.065,91.883,4,https://api.spotify.com/v1/tracks/7oAraczbemGSNWqnbkU87R,audio_features,spotify:track:7oAraczbemGSNWqnbkU87R,0.536,Too Good At Goodbyes,Sam Smith,5
