SongTitle,Title,PeakPos
Animals,Maroon 5,21
The Night We Met,Lord Huron,84
1 Night,Lil Yachty,49
Loving You Easy,Zac Brown Band,40
Ride,twenty one pilots,76
Black SpiderMan,Logic Featuring Damian Lemar Hudson,87
These Heaux,Bhad Bhabie,77
Goodbye,Who Is Fancy,98
Home,gnash Featuring Johnny Yukon,76
Black Skinhead,Kanye West,69
Here,Alessia Cara,5
Feel Like A Rock Star,Kenny Chesney & Tim McGraw,40
Alright,Kendrick Lamar,81
Play It Again,Luke Bryan,14
President Carter,Lil Wayne,94
Don't Stop The Party,Pitbull Featuring TJR,86
Hold Each Other,A Great Big World Featuring FUTURISTIC,99
Teenage Dream,Katy Perry,8
The Champ,Nelly,61
Shout Out To My Ex,Little Mix,69
Stay With Me,Josh Kaufman,92
Mr. Saxobeat,Alexandra Stan,21
Just A Fool,Christina Aguilera With Blake Shelton,71
Ain't Worth The Whiskey,Cole Swindell,43
Lolly,Maejor Ali Featuring Juicy J & Justin Bieber,19
Stressed Out,twenty one pilots,2
Jugg,Fetty Wap Featuring Monty,86
All I Want For Christmas Is You (SuperFestive!),Justin Bieber Duet With Mariah Carey,86
A Guy Walks Into A Bar,Tyler Farr,51
I Fall Apart,Post Malone,28
Slide,Calvin Harris Featuring Frank Ocean & Migos,25
Teenage Dream,Glee Cast,8
Olivia,One Direction,87
Fly Away,5 Seconds Of Summer,100
Imagine,Sawyer Fredericks,98
Good Girl,Carrie Underwood,18
Memories Back Then,"Hustle Gang Featuring T.I., B.o.B, Kendrick Lamar & Kris Stephens",88
What Now,Rihanna,25
Faith,George Michael,1
Around My Way (Freedom Ain't Free),Lupe Fiasco,76
Red Nation,Game Featuring Lil Wayne,62
Love Faces,Trey Songz,63
Run Up,Major Lazer Featuring PARTYNEXTDOOR & Nicki Minaj,66
Break Up With Him,Old Dominion,44
Fly / I Believe I Can Fly,Glee Cast,56
That's My Girl,Fifth Harmony,73
Don't,Bryson Tiller,13
No Sense,Justin Bieber Featuring Travi$ Scott,54
House Of The Rising Sun,Kimberly Nichole,100
Wop,J. Dash,51
Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,6
This Kiss,Carly Rae Jepsen,86
Who Says,Selena Gomez & The Scene,21
Hell On Heels,Pistol Annies,55
Sauce It Up,Lil Uzi Vert,49
Made In The USA,Demi Lovato,80
Lovin' You Is Fun,Easton Corbin,57
Oceans,Jay Z Featuring Frank Ocean,83
Mean,Taylor Swift,11
Ships In The Night,Mat Kearney,87
You Can't Stop The Beat,Glee Cast,67
Til It's Gone,Kenny Chesney,60
Burning House,Emily Ann Roberts,56
One Call Away,Charlie Puth,12
Song About A Girl,Eric Paslay,85
It's Beginning To Look A Lot Like Christmas,Michael Buble,96
Stars,Grace Potter & The Nocturnals,97
The Sound Of Silence,Disturbed,42
"Bills, Bills, Bills",Glee Cast,44
We R Who We R,Ke$ha,1
Wildflower,The JaneDear Girls,60
Let Me See Ya Girl,Cole Swindell,59
Swish Swish,Katy Perry Featuring Nicki Minaj,46
What They Want,Russ,83
No Promises,Cheat Codes Featuring Demi Lovato,74
Loyalty.,Kendrick Lamar Featuring Rihanna,14
Scared To Be Lonely,Martin Garrix & Dua Lipa,76
Titanium,David Guetta Featuring Sia,7
History,One Direction,65
Sparks,Hilary Duff,93
New Slaves,Kanye West,56
Smooth Criminal,Glee Cast Featuring 2Cellos,26
Lay It All On Me,Rudimental Featuring Ed Sheeran,48
Do They Know It's Christmas?,Glee Cast,92
Pretty Girls,Iyaz Featuring Travie McCoy,43
Look At Me Now,Chris Brown Featuring Lil Wayne & Busta Rhymes,6
Privacy,Chris Brown,62
Believer,Imagine Dragons,4
It's A Vibe,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",44
I Got The Boy,Jana Kramer,56
Martians Vs Goblins,"Game Featuring Lil Wayne & Tyler, The Creator",100
Everything Is AWESOME!!!,Tegan And Sara Featuring The Lonely Island,57
Steal My Girl,One Direction,13
All Time Low,Jon Bellion,16
Do It Again,Pia Mia Featuring Chris Brown & Tyga,71
I Luh Ya Papi,Jennifer Lopez Featuring French Montana,77
Mark My Words,Justin Bieber,42
Papi,Jennifer Lopez,96
Stay Schemin,Rick Ross Featuring Drake & French Montana,58
I Know Somebody,LOCASH,52
All I Ask,Adele,77
Never Enough,One Direction,100
Need You Now,Glee Cast,62
Wild Wild Love,Pitbull Featuring G.R.L.,30
Blackout,Breathe Carolina,32
What About Love,Austin Mahone,66
I Wanna Go,Britney Spears,7
Type Of Way,Rich Homie Quan,50
Misery,Glee Cast,52
Mr. Rager,Kid Cudi,77
Forever Country,"Artists Of Then, Now & Forever",21
Can't Be Friends,Trey Songz,43
Airplanes,B.o.B Featuring Hayley Williams,2
Latch,Disclosure Featuring Sam Smith,7
My Kinda Party,Jason Aldean,39
On The Regular,Meek Mill,75
I. Crawl,Childish Gambino,86
Fine By Me,Andy Grammer,84
Power Trip,J. Cole Featuring Miguel,19
Transportin',Kodak Black,46
True Colors,Zedd & Kesha,74
Little Drummer Boy,Pentatonix,13
Take Care,Drake Featuring Rihanna,7
Tell Me You Love Me,Demi Lovato,97
Magic,Coldplay,69
Sweater Weather,The Neighbourhood,14
Postcard From Paris,The Band Perry,60
Drinking Class,Lee Brice,53
Home,Dierks Bentley,76
No New Friends (SFTB Remix),"DJ Khaled Featuring Drake, Rick Ross & Lil Wayne",37
Magic,B.o.B Featuring Rivers Cuomo,69
Secrets,Mary Lambert,66
They Don't Know,Jason Aldean,73
Water Under The Bridge,Adele,26
Mary Did You Know,Jordan Smith,24
She Came To Give It To You,Usher Featuring Nicki Minaj,89
Body Party,Ciara,22
I'm Not Gonna Miss You,Glen Campbell,90
Soldier,Damien,74
When I See This Bar,Kenny Chesney,84
Gold,Britt Nicole,83
Say Aah,Lindsey Pavao,80
Chillin' It,Cole Swindell,28
If It Ain't Love,Jason Derulo,67
Dirty Dancer,Enrique Iglesias With Usher Featuring Lil Wayne,18
Nothing Without You,The Weeknd,68
Black,Dierks Bentley,56
God.,Kendrick Lamar,58
Battle Scars,Lupe Fiasco & Guy Sebastian,71
Lean On,Major Lazer & DJ Snake Featuring MO,4
Marry You,Glee Cast,85
One Love (People Get Ready),Glee Cast,41
Tell Your Friends,The Weeknd,54
Roll Up,Wiz Khalifa,13
Pillowtalk,Zayn,1
Southern Girl,Tim McGraw,42
From Time,Drake Featuring Jhene Aiko,67
C'mon,Ke$ha,27
Don't Hold Your Breath,Nicole Scherzinger,86
Crew,GoldLink Featuring Brent Faiyaz & Shy Glizzy,45
Rake It Up,Yo Gotti Featuring Nicki Minaj,8
Can't Get Enough,J. Cole Featuring Trey Songz,52
Thunder,Imagine Dragons,5
Good For You,Selena Gomez Featuring A$AP Rocky,5
Oh My,"DJ Drama Featuring Fabolous, Roscoe Dash & Wiz Khalifa",95
Valerie,Glee Cast,54
Easy,Sheryl Crow,72
Ex's & Oh's,Elle King,10
"Hey, Soul Sister",Glee Cast,29
Everything Has Changed,Taylor Swift Featuring Ed Sheeran,32
Stay With Me,Sam Smith,92
