"","athlete.sex","type","average_speed","distance","total_elevation_gain","incline","score"
"511","M","Run",2.457,6803.5,260.2,0.0382450209451018,19318.1995
"512","F","Ride",4.978,10637.6,76.7,0.0072102729939084,53720.9728
"513","M","Run",2.682,10997.3,0,0,29494.7586
"514","M","Ride",6.631,8725.8,36.7,0.00420591808200967,58227.7798
"515","F","Run",2.393,5583.5,92.6,0.0165845795647891,14287.3155
"516","M","Ride",4.159,24280.4,511.8,0.02107873016919,106100.1836
"517","M","Ride",5.374,49758.7,1238,0.0248800712237257,279783.2538
"518","M","Ride",8.022,75880.8,214,0.00282021275474165,610855.7776
"519","M","Ride",6.269,5153.3,0,0,32306.0377
"520","F","Ride",7.155,82192.3,675.1,0.00821366478368412,594836.9065
"521","F","Ride",2.863,52005.8,1031.9,0.0198420176211115,159211.6054
"522","F","Run",2.085,323.1,0,0,673.6635
"523","M","Ride",4.391,3227.1,35.1,0.0108766384679743,14521.1961
"524","M","Ride",4.824,11891.7,120,0.0100910719241151,58565.5608
"525","M","Ride",7.435,21331.1,174,0.00815710394681943,160336.7285
"526","F","Run",2.779,3606.8,0,0,10023.2972
"527","M","Ride",7.503,63981.2,1062,0.0165986258463424,490670.9436
"528","M","Ride",8.233,40646.1,167.4,0.00411847631138043,336313.3413
"529","M","Ride",7.583,45917.3,268.4,0.00584529142610737,350874.8859
"530","M","Ride",8.336,68819.3,1179,0.0171318220324822,585467.6848
"531","M","Ride",7.805,66723.6,687.5,0.0103037006396537,527652.698
"532","M","Ride",7.654,45941,166.1,0.00361550684573692,353293.414
"533","F","Run",2.292,632.6,0,0,1449.9192
"534","F","Run",3.284,7828,94.8,0.0121103730199285,26655.152
"535","F","Ride",3.841,21031.3,699,0.0332361765558953,87771.2233
"536","F","Run",2.818,10043.8,213.1,0.0212170692367431,30434.4284
"537","F","Run",3.628,8054.8,0,0,29222.8144
"538","M","Ride",8.464,109054,785,0.00719826874759294,930883.056
"539","F","Run",2.96,6553.6,39,0.005950927734375,19788.656
"540","M","Ride",5.266,14919.8,127.4,0.00853898845829033,79841.6668
"541","M","Ride",6.964,480.5,67,0.139438085327784,4016.202
"542","M","Ride",7.245,106726,2404.8,0.0225324663156119,797277.87
"543","M","Ride",11.146,109206,1198.5,0.010974671721334,1229195.076
"544","F","Run",2.509,7592.4,14.5,0.00190980454138349,19194.3316
"545","F","Run",2.453,3415.1,10.1,0.00295745366167901,8478.2403
"546","M","Ride",6.457,15256.9,87.8,0.005754773250136,99391.8033
"547","M","Ride",6.294,34093.4,176.9,0.00518868754656326,216352.8596
"548","F","Ride",6.085,21041,28.5,0.00135449836034409,128319.485
"549","M","Ride",6.717,28796.1,302,0.010487531297641,196443.4037
"550","F","Ride",4.568,13068.4,11.3,0.000864681215757094,59809.4512
"551","F","Run",2.855,8222.6,83,0.010094130810206,24305.523
"552","F","Ride",4.602,14772.1,105.4,0.00713507219691175,69035.2042
"553","M","Run",2.911,3795.4,0,0,11048.4094
"554","M","Ride",7.477,16030.4,188.3,0.0117464317796187,121742.3008
"555","M","Run",1.836,6060.1,29,0.004785399580865,11416.3436
"556","M","Ride",8.04,52212.4,413,0.00790999839118677,423917.696
"557","M","Ride",5.166,9726.9,23.9,0.00245710349648912,50488.1654
"558","F","Ride",5.812,9147.4,21.2,0.0023175984432735,53376.6888
"559","M","Run",3.245,4111.8,32.6,0.00792840118682815,13668.791
"560","M","Ride",5.379,36905.4,371.8,0.0100744064554239,202232.1466
"561","F","Ride",5.719,8281.6,62.2,0.00751062596599691,47984.4704
"562","F","Run",2.23,4334.5,169,0.0389895028261622,11355.935
"563","F","Run",2.184,8698.1,455.7,0.0523907520033111,23553.6504
"564","M","Run",2.881,9024.6,97.5,0.0108038029386344,26974.8726
"565","F","Run",1.947,5039.9,0,0,9812.6853
"566","F","Ride",5.191,16430.3,0,0,85289.6873
"567","M","Ride",5.355,32079.1,15.2,0.000473828754547353,171935.5805
"568","M","Ride",3.551,6722.8,60.5,0.00899922651276254,24477.6628
"569","M","Ride",8.368,52886.7,370,0.00699608786330023,446255.9056
"570","F","Ride",7.413,85869.3,658.5,0.00766863128032952,643134.1209
"571","F","Run",2.17,27232.1,121,0.00444328568123648,60303.657
"572","M","Ride",6.664,28321.9,323.8,0.0114328487848626,191975.1416
"573","M","Ride",5.003,15314.9,138.1,0.00901736217670373,78001.4447
"574","F","Ride",4.522,8279.7,108.6,0.013116417261495,38526.8034
"575","M","Ride",7.827,159703,325.7,0.00203941065603026,1253252.381
"576","F","Run",2.444,4848.4,0,0,11849.4896
"577","M","Ride",3.989,15014.1,60.6,0.00403620596639159,60497.2449
"578","F","Run",1.11,3759.7,43.1,0.0114636806128149,4604.267
"579","M","Ride",5.996,36479.3,313.8,0.00860213874717991,221867.8828
"580","F","Run",2.051,3927.1,84,0.0213898296452853,8894.4821
"581","F","Ride",3.723,6321.8,0,0,23536.0614
"582","M","Ride",7.015,53995.9,441.5,0.00817654673780787,383196.2385
"583","M","Run",3.49,6037.6,0,0,21071.224
"584","F","Run",3.262,6455.4,32,0.00495709018805961,21377.5148
"585","F","Ride",5.14,54328.8,1114.6,0.0205158221790284,290396.032
"586","M","Ride",6.751,15175.5,120,0.0079074824552733,103649.8005
"587","M","Ride",5.407,18573.4,289.8,0.0156029590704987,103324.3738
"588","F","Ride",6.765,8063.4,22,0.00272837760746087,54768.901
"589","M","Ride",8.702,9580.5,0,0,83369.511
"590","M","Ride",6.282,7118,81.5,0.0114498454622085,45530.276
"591","M","Run",2.352,14743.1,849.7,0.057633740529468,43172.7712
"592","F","Run",2.468,241.9,0,0,597.0092
"593","M","Ride",3.521,26751.9,261.2,0.00976379247829126,96805.4399
